,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2
410,2018-01-16 15:00:00 +0000 UTC,1002,75,11,280,574,1.7176190476190474,0.6304761904761905
411,2018-01-16 16:00:00 +0000 UTC,1003,87,7,280,574,1.9038095238095236,0.6595238095238096
412,2018-01-16 17:00:00 +0000 UTC,1003,81,7,250,574,2.1442857142857137,1.1157142857142857
413,2018-01-16 18:00:00 +0000 UTC,1003,86,7,280,574,2.2614285714285716,1.167142857142857
414,2018-01-16 19:00:00 +0000 UTC,1002,86,3,230,574,1.5128571428571433,0.5457142857142857
415,2018-01-16 20:00:00 +0000 UTC,1001,81,7,240,574,2.0428571428571427,1.1019047619047622
416,2018-01-16 21:00:00 +0000 UTC,1002,75,8,250,574,1.7414285714285715,0.7157142857142856
417,2018-01-16 22:00:00 +0000 UTC,1002,86,5,260,574,2.3633333333333333,0.7828571428571429
418,2018-01-16 23:00:00 +0000 UTC,1002,86,7,300,574,3.2580952380952377,1.038095238095238
419,2018-01-17 00:00:00 +0000 UTC,1001,86,2,230,574,2.3838095238095236,0.8238095238095237
420,2018-01-17 01:00:00 +0000 UTC,1001,65,10,240,574,1.8061904761904766,0.6966666666666667
421,2018-01-17 01:00:00 +0000 UTC,1001,65,10,240,574,1.4595238095238092,0.6142857142857144
422,2018-01-17 02:00:00 +0000 UTC,1000,86,6,240,574,1.4233333333333336,0.5757142857142857
423,2018-01-17 03:00:00 +0000 UTC,1000,86,4,240,574,2.031904761904762,0.5909523809523809
424,2018-01-17 04:00:00 +0000 UTC,1001,97,5,250,574,0.8590476190476192,0.4080952380952381
425,2018-01-17 05:00:00 +0000 UTC,1002,97,7,260,574,1.6980952380952379,0.5357142857142856
426,2018-01-17 06:00:00 +0000 UTC,1002,69,9,260,574,0.5790476190476191,0.2590476190476191
427,2018-01-17 07:00:00 +0000 UTC,1003,69,8,260,574,1.2757142857142858,0.4266666666666667
428,2018-01-17 08:00:00 +0000 UTC,1005,69,9,250,574,1.2290476190476187,0.4619047619047619
429,2018-01-17 09:00:00 +0000 UTC,1005,64,9,260,574,1.2957142857142856,0.5547619047619047
430,2018-01-17 09:00:00 +0000 UTC,1005,64,9,260,574,1.4257142857142857,0.7261904761904763
431,2018-01-17 10:00:00 +0000 UTC,1007,80,8,250,574,1.6742857142857142,0.6071428571428571
432,2018-01-17 10:00:00 +0000 UTC,1007,80,8,250,574,1.89,0.7095238095238097
433,2018-01-17 11:00:00 +0000 UTC,1008,86,6,260,574,2.323809523809524,0.7623809523809525
434,2018-01-17 11:00:00 +0000 UTC,1008,86,6,260,574,2.5042857142857144,0.7033333333333333
435,2018-01-17 12:00:00 +0000 UTC,1009,94,8,260,574,2.9642857142857144,1.0104761904761905
436,2018-01-17 13:00:00 +0000 UTC,1010,86,6,270,574,1.5257142857142856,0.800952380952381
437,2018-01-17 13:00:00 +0000 UTC,1010,86,6,270,574,2.2523809523809524,0.965714285714286
