,Unnamed: 0,Unnamed: 0.1,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2,P1_minus_1,P2_minus_1,humidity_minus_1,pressure_minus_1,wind_deg_minus_1,wind_speed_minus_1,P1_minus_2,P2_minus_2,humidity_minus_2,pressure_minus_2,wind_deg_minus_2,wind_speed_minus_2,P1_minus_3,P2_minus_3,humidity_minus_3,pressure_minus_3,wind_deg_minus_3,wind_speed_minus_3,P1_minus_4,P2_minus_4,humidity_minus_4,pressure_minus_4,wind_deg_minus_4,wind_speed_minus_4,day_in_year,weekday,hour
557,561,561,2018-01-21 19:00:00 +0000 UTC,1018,100,2,130,574,4.542857142857142,3.031904761904761,4.343333333333334,3.144761904761905,100.0,1018.0,130.0,2.0,3.5304761904761905,2.671904761904762,100.0,1018.0,130.0,2.0,4.1938095238095245,3.1328571428571426,100.0,1018.0,110.0,2.0,3.0942857142857143,2.5861904761904766,100.0,1018.0,110.0,2.0,21,6,19
558,562,562,2018-01-21 20:00:00 +0000 UTC,1018,100,3,150,574,4.177619047619047,2.913333333333333,4.542857142857142,3.031904761904761,100.0,1018.0,130.0,2.0,4.343333333333334,3.144761904761905,100.0,1018.0,130.0,2.0,3.5304761904761905,2.671904761904762,100.0,1018.0,130.0,2.0,4.1938095238095245,3.1328571428571426,100.0,1018.0,110.0,2.0,21,6,20
559,563,563,2018-01-21 21:00:00 +0000 UTC,1018,100,1,160,574,4.413333333333334,3.2295238095238097,4.177619047619047,2.913333333333333,100.0,1018.0,150.0,3.0,4.542857142857142,3.031904761904761,100.0,1018.0,130.0,2.0,4.343333333333334,3.144761904761905,100.0,1018.0,130.0,2.0,3.5304761904761905,2.671904761904762,100.0,1018.0,130.0,2.0,21,6,21
560,564,564,2018-01-21 22:00:00 +0000 UTC,1017,100,2,130,574,4.163333333333333,3.0376190476190486,4.413333333333334,3.2295238095238097,100.0,1018.0,160.0,1.0,4.177619047619047,2.913333333333333,100.0,1018.0,150.0,3.0,4.542857142857142,3.031904761904761,100.0,1018.0,130.0,2.0,4.343333333333334,3.144761904761905,100.0,1018.0,130.0,2.0,21,6,22
561,565,565,2018-01-21 22:00:00 +0000 UTC,1017,100,2,130,574,4.176190476190477,2.8357142857142854,4.163333333333333,3.0376190476190486,100.0,1017.0,130.0,2.0,4.413333333333334,3.2295238095238097,100.0,1018.0,160.0,1.0,4.177619047619047,2.913333333333333,100.0,1018.0,150.0,3.0,4.542857142857142,3.031904761904761,100.0,1018.0,130.0,2.0,21,6,22
562,566,566,2018-01-21 23:00:00 +0000 UTC,1016,100,1,140,574,3.531428571428572,2.237619047619047,4.176190476190477,2.8357142857142854,100.0,1017.0,130.0,2.0,4.163333333333333,3.0376190476190486,100.0,1017.0,130.0,2.0,4.413333333333334,3.2295238095238097,100.0,1018.0,160.0,1.0,4.177619047619047,2.913333333333333,100.0,1018.0,150.0,3.0,21,6,23
563,567,567,2018-01-21 23:00:00 +0000 UTC,1016,100,1,140,574,8.431428571428572,5.55095238095238,3.531428571428572,2.237619047619047,100.0,1016.0,140.0,1.0,4.176190476190477,2.8357142857142854,100.0,1017.0,130.0,2.0,4.163333333333333,3.0376190476190486,100.0,1017.0,130.0,2.0,4.413333333333334,3.2295238095238097,100.0,1018.0,160.0,1.0,21,6,23
564,568,568,2018-01-21 23:00:00 +0000 UTC,1016,100,1,140,574,4.812857142857143,3.345714285714286,8.431428571428572,5.55095238095238,100.0,1016.0,140.0,1.0,3.531428571428572,2.237619047619047,100.0,1016.0,140.0,1.0,4.176190476190477,2.8357142857142854,100.0,1017.0,130.0,2.0,4.163333333333333,3.0376190476190486,100.0,1017.0,130.0,2.0,21,6,23
565,569,569,2018-01-22 00:00:00 +0000 UTC,1015,100,2,160,574,5.703333333333332,3.889047619047618,4.812857142857143,3.345714285714286,100.0,1016.0,140.0,1.0,8.431428571428572,5.55095238095238,100.0,1016.0,140.0,1.0,3.531428571428572,2.237619047619047,100.0,1016.0,140.0,1.0,4.176190476190477,2.8357142857142854,100.0,1017.0,130.0,2.0,22,0,0
566,570,570,2018-01-22 00:00:00 +0000 UTC,1015,100,2,160,574,6.044761904761906,4.921428571428573,5.703333333333332,3.889047619047618,100.0,1015.0,160.0,2.0,4.812857142857143,3.345714285714286,100.0,1016.0,140.0,1.0,8.431428571428572,5.55095238095238,100.0,1016.0,140.0,1.0,3.531428571428572,2.237619047619047,100.0,1016.0,140.0,1.0,22,0,0
567,571,571,2018-01-22 00:00:00 +0000 UTC,1015,100,2,160,574,7.7004761904761905,5.815238095238095,6.044761904761906,4.921428571428573,100.0,1015.0,160.0,2.0,5.703333333333332,3.889047619047618,100.0,1015.0,160.0,2.0,4.812857142857143,3.345714285714286,100.0,1016.0,140.0,1.0,8.431428571428572,5.55095238095238,100.0,1016.0,140.0,1.0,22,0,0
